Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
11562,Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1988,S.30(4) / S.12 ,"Failing to surrender firearm certificate or firearm or ammunition on revocation of certificate
(Group I) / CJS: FA88006, 08, 10 & 355+",3 months or L4 or both,-,115/62,115/62,-,-,115/62,No,2009 or earlier
11563,Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1988,S.30(4) ,"Failing to surrender shotgun certificate or shotgun or ammunition on revocation of certificate
(Group II) / CJS: FA88007,9&11 & FI88162,3,5&6 / CJS: FI68163",3 months or L4 or both,-,115/63,115/63,-,-,115/63,No,2009 or earlier
11565,Firearms Act 1968,S.39(1),Making false statement to secure registration of a place of business / CJS: FI68164-5,L3,-,115/65,115/65,-,-,115/65,No,2009 or earlier
11566,Firearms Act 1968,S.39(2),Registered dealer failing to have place of business entered in register / CJS: FI68166,6 months or L5 or both,-,115/66,115/66,-,-,115/66,No,2009 or earlier
11567,Firearms Act 1968,S.39(3),Non-compliance with condition of registration / CJS: FI68167,6 months or L5 or both,-,115/67,115/67,-,-,115/67,No,2009 or earlier
11568,Firearms Act 1968,S.40(5),Non-compliance by dealer as to register of transactions-false entry / CJS: FI68168-9,6 months or L5 or both,-,115/68,115/68,-,-,115/68,No,2009 or earlier
11588,Firearms Act 1968,S.42A ,Failing to report a transaction authorised by a visitor's shotgun permit / (Group II) / CJS: FI68299+,3 months or L5 or both,-,115/88,115/88,-,-,115/88,No,2009 or earlier
11569,Firearms Act 1968 / as amended by / Firearms (Amendment) Act 1997,S.46 ,Obstructing constable or civilian in exercise of search powers / CJS: FI68327 and FI68343,6 months or L5 or both,-,115/69,115/69,-,-,115/69,No,2009 or earlier
11570,Firearms Act 1968,S.47(2),Failure to surrender firearm or ammunition on demand by constable (Group I) / CJS: FI68173+,3 months or L4 or both,-,115/70,115/70,-,-,115/70,No,2009 or earlier
11571,Firearms Act 1968,S.47(2),Failure to surrender firearm or ammunition on demand by constable (Group II) / CJS:,3 months or L4 or both,-,115/71,115/71,-,-,115/71,No,2009 or earlier
11572,Firearms Act 1968,S.47(2),Failure to surrender firearm or ammunition on demand by constable (Group III) / CJS:,3 months or L4 or both,-,115/72,115/72,-,-,115/72,No,2009 or earlier
11573,Firearms Act 1968,S.48(3),Failure to comply with requirements of a constable to declare name and address (Group I) / CJS: FI68359,L3,-,115/73,115/73,-,-,115/73,No,2009 or earlier
11574,Firearms Act 1968,S.48(3),Failure to comply with requirements of a constable to declare name and address (Group II) / CJS: FI68360+,L3,-,115/74,115/74,-,-,115/74,No,2009 or earlier
11575,Firearms Act 1968,S.49,Failure to give constable facilities for examination of firearms in transit (Group I) / CJS: FI68187-90,3 months or L3 or both,-,115/75,115/75,-,-,115/75,No,2009 or earlier
11576,Firearms Act 1968,S.52(2) (c) ,Failure to surrender firearm certificate (Group I) / CJS: FI68203,L3,-,115/76,115/76,-,-,115/76,No,2009 or earlier
11577,Firearms Act 1968,S.52(2) (c) ,Failure to surrender shotgun certificate (Group II) / CJS: FI68204,L3,-,115/77,115/77,-,-,115/77,No,2009 or earlier
11578,Firearms (Amendment) Act 1988,S.4,Transfers of shotguns (Group II) / CJS: FA88001-3 and FA88039,6 months or L5 or both,-,115/78,115/78,-,-,115/78,No,2009 or earlier
11579,Firearms (Amendment) Act 1988,S.5,Restriction on sale of ammunition for smooth-bore guns (Group II) / CJS: FA88004,6 months or L5 or both,-,115/79,115/79,-,-,115/79,No,2009 or earlier
11580,Firearms (Amendment) Act 1988,S.14,"Auctioneer, carrier or warehouseman failing to keep firearms and ammunition safe or failing to report loss or theft (Group I) / CJS: FA88012/14/16/18/20/22",6 months or L5 or both,-,115/80,115/80,-,-,115/80,No,2009 or earlier
11581,Firearms (Amendment) Act 1988,S.14,"Auctioneer, carrier or warehouseman failing to keep firearms and ammunition safe or failing to report loss or theft (Group II) / CJS: FA88013/15/17/19/21/23",6 months or L5 or both,-,115/81,115/81,-,-,115/81,No,2009 or earlier
11590,Firearms (Amendment) Act 1988,S.15,Obstructing a constable entering or inspecting an approved rifle/ pistol club / CJS: FA88024 and FA88041,L3,-,115/90,115/90,-,-,115/90,No,2009 or earlier
11582,Firearms (Amendment) Act 1988,S.17,Making false statement to obtain a visitor's permit (Group I) / CJS: FA88025,6 months or L5 or both,-,115/82,115/82,-,-,115/82,No,2009 or earlier
11583,Firearms (Amendment) Act 1988,S.17,Failing to comply with conditions on a visitor's permit (Group I) / CJS: FA88027,6 months or L5 or both,-,115/83,115/83,-,-,115/83,No,2009 or earlier
11584,Firearms (Amendment) Act 1988,S.17,Making false statement to obtain a visitor's permit (Group II) / CJS: FA88026,6 months or L5 or both,-,115/84,115/84,-,-,115/84,No,2009 or earlier
11585,Firearms (Amendment) Act 1988,S.17,Failing to comply with conditions on a visitor's permit (Group II) / CJS: FA88028,6 months or L5 or both,-,115/85,115/85,-,-,115/85,No,2009 or earlier
11586,Firearms (Amendment) Act 1988,S.18,Firearms dealer failing to inform police of sale of firearms for export (Group I) / CJS: FA88034,6 months or L5 or both,-,115/86,115/86,-,-,115/86,No,2009 or earlier
11587,Firearms (Amendment) Act 1988,S.18 ,Firearms dealer failing to inform police of sale of firearms for export (Group II) / CJS: FA88029+,6 months or L5 or both,-,115/87,115/87,-,-,115/87,No,2009 or earlier
11591,Firearms (Amendment) Act 1988,S.19 & Schedule para.4(1)(a),"Making a false statement to obtain, or not complying with, museum licence / CJS: FA88031",6 months or L5 or both,-,115/91,115/91,-,-,115/91,No,2009 or earlier
11591,Firearms (Amendment) Act 1988,S.19 & Schedule para.4(1)(b),Failing to comply with condition of museum licence / CJS: FA88032,6 months or L5 or both,-,115/91,115/91,-,-,115/91,No,2009 or earlier
11591,Firearms (Amendment) Act 1988,S.19 & Schedule para 4(3),Failing to surrender a revoked museum licence / CJS: FA88033,6 months or L5 or both,-,115/91,115/91,-,-,115/91,No,2009 or earlier
8142,Firearms (Amendment) Act 1997,SS.32 & 36(a)(i)(ii),Failure to transfer firearms or ammunition in person (Group I) / CJS: FA97010+,6 months or L5 or both,S 81/42,S 81/42,S 81/42,5 years or fine or both,S 81/42,S 81/42,Yes,2009 or earlier
8169,Firearms Amendment Act 1997,SS.32(2) & 36(a)(i)(ii),Failing to comply with instruction in firearm certificate upon transfer to person other than registered dealer (Group I) / CJS: FI68171-2,6 months or L5 or both,S 81/69,S 81/69,S 81/69,3 years,S 81/69,S 81/69,Yes,2009 or earlier
8143,Firearms (Amendment) Act 1997,SS.33 & 36(a)(i)(ii),Failure to give notice in writing to Chief Officer of Police of transfers involving firearms (Group I) / CJS: FA97012+,6 months or L5 or both,S 81/43,S 81/43,S 81/43,5 years or fine or both,S 81/43,S 81/43,Yes,2009 or earlier
8144,Firearms (Amendment) Act 1997,SS.34 & 36(a)(i)(ii),"Failure by certificate holder to notify in writing Chief Officer of Police of deactivation, destruction or loss of firearms or ammunition (Group I) / CJS: FA97029+",6 months or L5 or both,S 81/44,S 81/44,S 81/44,5 years or fine or both,S 81/44,S 81/44,Yes,2009 or earlier
8145,Firearms (Amendment) Act 1997,SS.35 & 36(a)(i)(ii),"Failure by certificate holder to notify in writing Chief Officer of Police of events taking place outside Great Britain involving firearms and ammunition (sold or otherwise disposed of, lost etc.) (Group I) / CJS: FA97016+ and FA97034",6 months or L5 or both,S 81/45,S 81/45,S 81/45,5 years or fine or both,S 81/45,S 81/45,Yes,2009 or earlier
11594,Firearms (Amendment) Act 1997,SS.32 & 36(b),Failure to transfer shotgun in person (Group II) / CJS: FA97011+,6 months or L5 or both,-,115/94,115/94,-,-,115/94,No,2009 or earlier
11598,Firearms Amendment Act 1997,SS.32(2) & 36(a)(i)(ii),Failing to comply with instruction in shotgun certificate upon transfer to person other than registered dealer (Group II) / CJS:,6 months or L5 or both,-,115/98,115/98,-,-,115/98,No,2009 or earlier
11595,Firearms (Amendment) Act 1997,SS.33 & 36(b),Failure to give notice in writing to the Chief Officer of Police of transfers involving shotguns (Group II) / CJS: FA97013,6 months or L5 or both,-,115/95,115/95,-,-,115/95,No,2009 or earlier
11596,Firearms (Amendment) Act 1997,SS.34 & 36(b),"Failure by certificate holder to give written notice to the Chief Officer of Police of deactivation, destruction or loss of shotgun (Group II) / CJS: FA97015+ and FA97032+",6 months or L5 or both,-,115/96,115/96,-,-,115/96,No,2009 or earlier
11597,Firearms (Amendment) Act 1997,SS.35 & 36(b),"Failure by certificate holder to notify in writing to the Chief Officer of Police of events taking place outside Great Britain involving shotguns (sold or otherwise disposed of, lost etc.) (Group II) / CJS: FA97034+",6 months or L5 or both,-,115/97,115/97,-,-,115/97,No,2009 or earlier
19599,Fire Precautions Act 1971,SS.6(9) & 7(7),Failure to keep a fire certificate in the relevant premises / CJS:,L3,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9999,Fire Precautions Act 1971,S.7(1)&(2),Failure to have a fire certificate / CJS: FP71001,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Precautions Act 1971,S.7(4),Contravention of any requirement of fire certificate / CJS: FP71002,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Precautions Act 1971,S.8(2),Failure to notify fire authority of any structural alterations of premises of storage of flammable material or explosives / CJS: FP71003-4,"£1,000",S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Precautions Act 1971,S.8(3),Storing explosives or highly flammable materials without a fire certificate to cover this / CJS: FP71005,"£1,000",S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Precautions Act 1971,S.8(7),Contravening fire authority's direction for material extension or structural alteration or storing volatile material / CJS: FP71006-7,"£1,000",S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
19599,Fire Precautions Act 1971,S.9A,Failing to provide means of escape and for fighting fire / CJS: FP71008,L5,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9999,Fire Precautions Act 1971,S.9F,Contravening requirements imposed by an improvement notice,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Precautions Act 1971,S.10(B),Contravention of prohibition notice / CJS: FP71009,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Precautions Act 1971,S.12(6),Contravening fire precaution regulations / CJS: FP71010,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Fire Safety and Safety of Places of Sport Act 1987,S.36(1),Contravening term or condition of a safety certificate for a regulated stand at sports ground / CJS:,L5,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
16830,Fire Services Act 1947,S.14(5),"Misuse of fire hydrant, damaging or obstructing fire hydrant / CJS: FS47007-9",L2,-,168/30,168/30,-,-,168/30,No,2009 or earlier
16830,Fire Services Act 1947,S.30(2),Obstructing firemen in extinguishing fires / CJS: FS47018,L3,-,168/30,168/30,-,-,168/30,No,2009 or earlier
16407,Fire Services Act 1947,S.31*,False alarms of fire *PENALTY OFFENCE under S.1 Criminal Justice & Police Act 2001 / CJS: FS 47020-1,3 months or L4 or both,-,164/07,164/07,-,-,164/07,No,2009 or earlier
11300,Fireworks Act 1951,"SS.1(4), 2(5), 5(4) & 6",Restrictions relating to the manufacturing of fireworks / CJS: FW51001-4,L3,-,113/00,113/00,-,-,113/00,No,2009 or earlier
19602,Fireworks Act 2003,S.11(2) & (4),Failure to comply with requirement imposed in or under Fireworks Regulations to give or not to give information / CJS: FW03001,6 months or L5 or both,-,196/02,196/02,-,-,196/02,No,2009 or earlier
13809,Fireworks Act 2003,S.11(3)(a) & (b) & (4),Knowingly or recklessly making a statement which is false in a material particular when a requirement to give information is imposed by or under fireworks regulations / CJS: FW03002,6 months or L5 or both,-,138/09,138/09,-,-,138/09,No,2009 or earlier
19601,Fireworks Regulations 2004,"SS. 4, 5, 7, 8, 9, 10, 11",Contravening a prohibition imposed by Fireworks Regulations / CJS: FW04001-10,6 months or L5 or both,-,196/01,196/01,-,-,196/01,No,2009 or earlier
16847,Fireworks (Safety) Regulations 1997,,Contravention of Regulations - offences under S.12 Consumer Protection Act 1987 / CJS: FS97001,6 months or L5 or both,-,168/47,168/47,-,-,168/47,No,2009 or earlier
11617,Fisheries Act 1981,S.5(3),"Sea Fish industry - failure to keep records or to produce on demand, or obstructing an officer / CJS: FH81001-2",L4,-,116/17,116/17,-,-,116/17,No,2009 or earlier
11617,Fisheries Act 1981,S.5(4),Altering a record or furnishing false information / CJS: FD81003-4,3 months or L5 or both,-,116/17,116/17,-,-,116/17,No,2009 or earlier
9999,Fisheries Act 1981,S.12,Restriction on disclosure of information / CJS: FD81005,6 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
11617,Fisheries Act 1981,S.17,Offences in connection with schemes / CJS: FD81006-8,L5,-,116/17,116/17,-,-,116/17,No,2009 or earlier
9999,Fishery Limits Act 1976,,Contravention of order regulating access to British fisheries / CJS:,"£50,000",S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
19599,Food Act 1984,S.56,Prohibited sales in market hours / CJS:,L2,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9166,Food Hygiene (England) Regulations 2006 / [SI 2006/14],RR.6 & 17,TEW offences / CJS:,L5,S 91/66,S 91/66,S 91/66,2 years,S 91/66,S 91/66,Yes,2009 or earlier
13821,Food Hygiene (England) Regulations 2006 / [SI 2006/14],RR.15 & 17(3),Obstruction of Officers etc. / CJS:,3 months or L5 or both,-,S 138/21,S 138/21,-,-,S 138/21,No,2009 or earlier
9166,Food Hygiene (Wales) Regulations 2006 / [SI 2006/31],RR.6 & 17,TEW offences / CJS:,L5,S 91/66,S 91/66,S 91/66,2 years,S 91/66,S 91/66,Yes,2012
13821,Food Hygiene (Wales) Regulations 2006 / [SI 2006/31],RR.15 & 17(3),Obstruction of Officers etc. / CJS:,3 months or L5 or both,-,S 138/21,S 138/21,-,-,S 138/21,No,2012
16829,Food Safety Act 1990,,Public Health offences triable summarily (except S.33(1) [see 101/07] and Regulations made under this Act) / CJS: FS90035,-,-,168/29,168/29,-,-,168/29,No,2009 or earlier
8901,Food Safety Act 1990 and Regulations and Orders made under this Act,"SS.6(4), 13(1)& 48(1) ",General protection of the public against injurious food or drugs / CJS: FS90015,6 months or L5 or both,S 89/01,S 89/01,S 89/01,2 years,S 89/01,S 89/01,Yes,2009 or earlier
8904,Food Safety Act 1990,S.7,Rendering food injurious to health / CJS: FS90001,"6 months or £20,000 or both",S 89/04,S 89/04,S 89/04,2 years,S 89/04,S 89/04,Yes,2009 or earlier
9101,"Food Safety Act 1990 and Regulations & Orders made under SS.6(4), 13(1) & 48(1)","SS.7, 8, 14 & 15 ",Public Health Offences as related to food and drugs / CJS: FS90017-28,"6 months or £20,000 or both",S 91/01,S 91/01,S 91/01,2 years,S 91/01,S 91/01,Yes,2009 or earlier
8905,Food Safety Act 1990,S.8,Selling food not complying with food safety requirements / CJS: FS90002-11,"6 months or £20,000 or both",S 89/05,S 89/05,S 89/05,2 years,S 89/05,S 89/05,Yes,2009 or earlier
8906,Food Safety Act 1990,S.14,Selling food not of the nature or substance or quality demanded / CJS:,"6 months or £20,000 or both",S 89/06,S 89/06,S 89/06,2 years,S 89/06,S 89/06,Yes,2009 or earlier
8907,Food Safety Act 1990,S.15,Falsely describing or presenting food / CJS:,6 months or L5 or both,S 89/07,S 89/07,S 89/07,2 years,S 89/07,S 89/07,Yes,2009 or earlier
10107,Food Safety Act 1990,S.33(1),Obstruction etc. of officers; failing to give information / CJS: FS90032,3 months or L5 or both,-,101/07,101/07,-,-,101/07,No,2009 or earlier
8908,Food Safety Act 1990,S.33(2),Obstruction etc. of officers; furnishing false information / CJS: FS90033-34,6 months or L5 or both,S 89/08,S 89/08,S 89/08,2 years,S 89/08,S 89/08,Yes,2009 or earlier
9102,Food Safety Act (General Food Hygiene) Regulations 1995,,"Hygiene offences in connection with sale, etc. of food to the public / CJS: FS95001-2",L5,S 91/02 ,S 91/02,S 91/02,2 years,S 91/02,S 91/02,Yes,2009 or earlier
9967,Foot and Mouth Disease Regulations,,TEW offences / CJS:,-,S 99/67,S 99/67,S 99/67,-,S 99/67,S 99/67,Yes,2009 or earlier
11003,Foot and Mouth Disease Regulations,,Summary offences / CJS:,-,110/03,110/03,110/03,-,-,110/03,No,2009 or earlier
9172,Foot and Mouth Disease (Export Restrictions) (England) Regulations 2007,R.21,Contravening regulations / CJS:,3 months or L5 or both,S 91/72,S 91/72,S 91/72,2 years,S 91/72,S 91/72,Yes,2009 or earlier
12527,Football Offences Act 1991,S.2,Throwing a missile at or towards the playing area or any area in which spectators or other persons may be present / CJS: FO91001+,L3,-,125/27,125/27,-,-,125/27,No,2009 or earlier
12528,Football Offences Act 1991,S.3,Taking part in indecent or racist chanting / CJS: FO91003,L3,-,125/28,125/28,-,-,125/28,No,2009 or earlier
12529,Football Offences Act 1991,S.4,Going onto the playing or adjacent area without lawful authority or lawful excuse / CJS: FO91004,L3,-,125/29,125/29,-,-,125/29,No,2009 or earlier
6605,Football Spectators Act 1989,S.9(1),"Admitting spectators to, or allowing spectators to remain on, unlicensed premises / CJS: FB89001",L5,S 66/05,S 66/05,S 66/05,2 years,S 66/05,S 66/05,Yes,2009 or earlier
12523,Football Spectators Act 1989,S.10(13) / SS.14B and 21B,Contravening a licence / CJS: FB89002 / Application for Football Banning Order made on Complaint or by Notice / CJS:,L5 / Use Classification 502/00,-,125/23 / -,125/23 / -,-,-,125/23 / -,No,2009 or earlier
12559,Football Spectators Act 1989,S.14J,Failure to comply with requirements of Football Banning Order / CJS:,6 months or L5,-,125/59,125/59,-,-,125/59,No,2009 or earlier
